,date_forecast,lower,mean,upper,k
1,2019-01-01,0.0413189028504366,0.06149368526418786,0.07782310076222232,la volcana Apartments
2,2019-04-01,0.05745579241067711,0.08821131588194597,0.11550155511733684,la volcana Apartments
3,2019-07-01,0.0854761638080741,0.12535296276353325,0.1597690391498503,la volcana Apartments
4,2019-10-01,0.08352736688742768,0.12959507665731285,0.16833040773522034,la volcana Apartments
5,2020-01-01,0.11657734533490505,0.17014129934826494,0.21526192262204558,la volcana Apartments
6,2020-04-01,0.18897875678767484,0.2471661001148362,0.29719323241898987,la volcana Apartments
7,2020-07-01,0.17117372111380758,0.23411189248126707,0.28809363474798944,la volcana Apartments
8,2020-10-01,0.1442783719874663,0.21515442291922815,0.27255434242495324,la volcana Apartments
9,2021-01-01,0.10694232247194768,0.18237393442554506,0.2419317486979069,la volcana Apartments
10,2021-04-01,0.11318834901157926,0.1837171232495991,0.24431467333094603,la volcana Apartments
11,2021-07-01,0.13657214546556218,0.2092503095022955,0.2730937392341741,la volcana Apartments
12,2021-10-01,0.1250810512413767,0.20042458130998098,0.2643146369579119,la volcana Apartments
13,2022-01-01,0.11150557174990605,0.1876993223817205,0.2540052062918896,la volcana Apartments
14,2022-04-01,0.0828209220255085,0.1512681499763382,0.21087909432339003,la volcana Apartments
15,2022-07-01,0.12781356225598506,0.19834908272709106,0.25861684447239397,la volcana Apartments
16,2022-10-01,0.1494158437466142,0.21562714949471418,0.27829992622559985,la volcana Apartments
17,2023-01-01,0.13811389358748194,0.20867407845850194,0.2747920451369674,la volcana Apartments
18,2023-04-01,0.09822027604063233,0.1722773036324754,0.241280888809287,la volcana Apartments
19,2023-07-01,0.04366158109151441,0.1261567560432868,0.19602932561327102,la volcana Apartments
20,2023-10-01,0.04018505106016823,0.12549289975786238,0.19883412635625097,la volcana Apartments
0,2018-10-01,0.03717374779923355,0.03717374779923355,0.03717374779923355,lagasca Property
1,2019-01-01,0.032394423967119,0.03984395402932672,0.047671371023467524,lagasca Property
2,2019-04-01,0.030186271442005586,0.04111456050705953,0.052054089342879806,lagasca Property
